F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20
22	68	6	3	7	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'PUNCT', 'SPACE', 'PRON', 'SPACE']	False	False	1	False	False	False	True	0	13	False	dobj	False	False
1	42	5	0	6	False	['ABS', 'ABS', 'ABS', 'ABS', 'AUX', 'SPACE', 'ADV', 'SPACE']	False	False	2	False	False	False	True	0	0	False	nsubj	False	False
42	43	2	6	0	False	['NOUN', 'SPACE', 'ADP', 'SPACE', 'PUNCT', 'ABS', 'ABS', 'ABS']	False	False	0	False	False	False	False	0	0	False	pobj	False	False
26	33	2	2	1	False	['VERB', 'SPACE', 'ADP', 'SPACE', 'SPACE', 'ADV', 'SPACE', 'ADP']	False	False	0	False	False	False	False	0	3	False	pobj	False	False
6	7	1	0	0	False	['PART', 'SPACE', 'VERB', 'SPACE', 'PUNCT', 'ABS', 'ABS', 'ABS']	False	False	0	False	False	False	False	0	0	False	dobj	False	False
20	39	4	3	2	False	['AUX', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'DET', 'SPACE', 'ADJ']	False	False	1	False	False	False	False	0	0	False	dobj	False	False
54	63	5	4	1	False	['ADP', 'SPACE', 'ADP', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'ADP']	False	False	0	False	False	False	False	0	1	False	pobj	False	False
1	24	1	0	1	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'AUX', 'SPACE', 'NUM']	False	False	2	False	False	False	False	0	5	False	nsubj	False	False
1	41	2	0	5	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'VERB', 'SPACE', 'PRON']	False	False	2	False	False	False	True	0	15	False	nsubj	False	False
13	18	1	1	0	False	['PRON', 'SPACE', 'SCONJ', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'ADV']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
19	20	3	1	0	False	['VERB', 'SPACE', 'ADP', 'SPACE', 'PUNCT', 'ABS', 'ABS', 'ABS']	False	False	0	False	False	False	False	0	0	False	pobj	False	False
25	26	2	3	0	False	['ADJ', 'SPACE', 'ADP', 'SPACE', 'PUNCT', 'ABS', 'ABS', 'ABS']	False	False	0	False	False	False	False	0	0	False	pobj	False	False
12	23	1	0	2	False	['PART', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'DET']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
3	12	1	0	1	False	['ABS', 'ABS', 'VERB', 'SPACE', 'SPACE', 'ADV', 'SPACE', 'ADP']	False	False	0	False	False	False	False	0	3	False	dobj	False	False
1	26	1	0	3	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'VERB', 'SPACE', 'PRON']	False	False	0	False	False	False	False	0	19	False	nsubj	False	False
78	79	6	9	0	False	['PART', 'SPACE', 'VERB', 'SPACE', 'PUNCT', 'ABS', 'ABS', 'ABS']	False	False	0	False	False	False	False	0	0	False	dobj	False	False
19	20	2	1	0	False	['ADJ', 'SPACE', 'ADP', 'SPACE', 'PUNCT', 'ABS', 'ABS', 'ABS']	False	False	0	False	False	False	False	0	0	False	pobj	False	False
27	32	4	3	0	False	['PRON', 'SPACE', 'ADP', 'SPACE', 'SPACE', 'CCONJ', 'SPACE', 'PART']	False	False	0	False	False	False	False	0	0	False	pobj	False	False
5	8	1	1	0	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'PUNCT', 'ABS']	False	False	0	False	False	False	False	0	0	False	dobj	False	False
4	12	2	0	1	False	['ABS', 'INTJ', 'PUNCT', 'SPACE', 'AUX', 'SPACE', 'DET', 'SPACE']	False	False	1	False	False	False	True	0	0	False	nsubj	False	False
33	42	1	4	1	False	['NOUN', 'SPACE', 'SCONJ', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'PART']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
13	26	1	2	2	False	['CCONJ', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'DET']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
5	22	2	0	2	False	['ADV', 'SPACE', 'ADV', 'SPACE', 'SPACE', 'AUX', 'PART', 'SPACE']	False	False	0	False	False	False	False	0	8	False	nsubjpass	False	False
30	37	4	4	0	False	['VERB', 'SPACE', 'NOUN', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'AUX']	False	False	0	False	False	False	False	0	0	False	nsubjpass	False	False
40	53	4	5	2	False	['CCONJ', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'DET']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
28	39	2	4	1	False	['ADV', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'DET', 'SPACE', 'ADJ']	False	False	1	False	False	False	False	0	5	False	dobj	False	False
